Year,StartDOY,EndDOY,StartDate,EndDate
1980,93,105,2-Apr,14-Apr
1981,61,88,2-Mar,29-Mar
1982,,,,
1983,65,78,6-Mar,19-Mar
1984,61,78,1-Mar,18-Mar
1985,52,79,21-Feb,20-Mar
1986,64,89,5-Mar,30-Mar
1987,71,88,12-Mar,29-Mar
1988,71,87,11-Mar,27-Mar
1989,73,89,14-Mar,30-Mar
1990,74,90,15-Mar,31-Mar
1991,77,86,18-Mar,27-Mar
1992,79,87,19-Mar,27-Mar
1993,73,81,14-Mar,22-Mar
1994,74,85,15-Mar,26-Mar
1995,77,91,18-Mar,1-Apr
1996,75,86,15-Mar,26-Mar
1997,73,84,14-Mar,25-Mar
1998,72,83,13-Mar,24-Mar
1999,,,,
2000,77,85,17-Mar,25-Mar
2001,72,77,13-Mar,18-Mar
2002,73,79,14-Mar,20-Mar
2003,75,81,16-Mar,22-Mar
2004,85,90,25-Mar,30-Mar
2005,83,88,24-Mar,29-Mar
2006,75,81,16-Mar,22-Mar
2007,72,82,13-Mar,23-Mar
2008,74,79,14-Mar,19-Mar
2009,82,87,23-Mar,28-Mar
2010,81,87,22-Mar,28-Mar
2011,,,,
2012,80,86,20-Mar,26-Mar
2013,75,84,16-Mar,25-Mar
2014,74,81,15-Mar,22-Mar
2015,76,82,17-Mar,23-Mar
2016,74,81,14-Mar,21-Mar
2017,77,83,18-Mar,24-Mar
2018,75,80,16-Mar,21-Mar
2019,66,75,7-Mar,16-Mar
2020,66,75,6-Mar,15-Mar
2021,62,70,3-Mar,11-Mar
