"","par","est","sd","lwr","upr","model","Ecov"
"1","q_repars",-1.07945634841806,0.194583300048796,-1.4608396165137,-0.698073080322425,"fit1","Fem30p"
"2","q_repars",-1.48150004140185,0.267394231010602,-2.00559273418263,-0.957407348621066,"fit3","Fem30p"
"3","q_repars",-1.07946672983883,0.194588847665326,-1.46086087126287,-0.698072588414792,"fit1","mismatch"
"4","q_repars",-1.75762250583688,0.294469234238191,-2.33478220494373,-1.18046280673002,"fit3","mismatch"
"5","q_repars",-1.07945667069019,0.194583427619569,-1.46084018882455,-0.698073152555835,"fit1","SST"
"6","q_repars",-1.11747407194137,0.202426911100353,-1.51423081769806,-0.720717326184681,"fit3","SST"
"7","q_repars",-1.07946126991344,0.194586005661767,-1.4608498410105,-0.698072698816375,"fit1","noise1"
"8","q_repars",-1.08293950231021,0.19412134754463,-1.46341734349769,-0.70246166112274,"fit3","noise1"
"9","q_repars",-1.07946290468933,0.194586868163479,-1.46085316628975,-0.698072643088907,"fit1","noise2"
"10","q_repars",-1.10027300711616,0.198860298012712,-1.49003919122107,-0.710506823011241,"fit3","noise2"
